id,sire,dam,sex,generation
G0_0001,,,M,0
G0_0002,,,F,0
G0_0003,,,M,0
G0_0004,,,F,0
G0_0005,,,M,0
G0_0006,,,M,0
G0_0007,,,M,0
G0_0008,,,M,0
G0_0009,,,F,0
G0_0010,,,F,0
G0_0011,,,M,0
G0_0012,,,F,0
G0_0013,,,M,0
G0_0014,,,M,0
G0_0015,,,F,0
G0_0016,,,M,0
G0_0017,,,M,0
G0_0018,,,F,0
G0_0019,,,F,0
G0_0020,,,M,0
G0_0021,,,F,0
G0_0022,,,M,0
G0_0023,,,M,0
G0_0024,,,F,0
G0_0025,,,M,0
G0_0026,,,F,0
G0_0027,,,M,0
G0_0028,,,M,0
G0_0029,,,F,0
G0_0030,,,F,0
G0_0031,,,M,0
G0_0032,,,F,0
G0_0033,,,M,0
G0_0034,,,F,0
G0_0035,,,F,0
G0_0036,,,M,0
G0_0037,,,M,0
G0_0038,,,F,0
G0_0039,,,M,0
G0_0040,,,M,0
G0_0041,,,F,0
G0_0042,,,F,0
G0_0043,,,M,0
G0_0044,,,M,0
G0_0045,,,F,0
G0_0046,,,M,0
G0_0047,,,F,0
G0_0048,,,M,0
G0_0049,,,M,0
G0_0050,,,M,0
G0_0051,,,F,0
G0_0052,,,M,0
G0_0053,,,F,0
G0_0054,,,F,0
G0_0055,,,F,0
G0_0056,,,F,0
G0_0057,,,F,0
G0_0058,,,M,0
G0_0059,,,M,0
G0_0060,,,F,0
G0_0061,,,F,0
G0_0062,,,F,0
G0_0063,,,M,0
G0_0064,,,M,0
G0_0065,,,F,0
G0_0066,,,M,0
G0_0067,,,M,0
G0_0068,,,M,0
G0_0069,,,M,0
G0_0070,,,M,0
G0_0071,,,M,0
G0_0072,,,F,0
G0_0073,,,F,0
G0_0074,,,F,0
G0_0075,,,M,0
G0_0076,,,M,0
G0_0077,,,M,0
G0_0078,,,F,0
G0_0079,,,M,0
G0_0080,,,F,0
G0_0081,,,F,0
G0_0082,,,M,0
G0_0083,,,F,0
G0_0084,,,F,0
G0_0085,,,F,0
G0_0086,,,F,0
G0_0087,,,M,0
G0_0088,,,M,0
G0_0089,,,F,0
G0_0090,,,F,0
G0_0091,,,M,0
G0_0092,,,M,0
G0_0093,,,F,0
G0_0094,,,M,0
G0_0095,,,F,0
G0_0096,,,F,0
G0_0097,,,M,0
G0_0098,,,F,0
G0_0099,,,M,0
G0_0100,,,F,0
G0_0101,,,F,0
G0_0102,,,F,0
G0_0103,,,M,0
G0_0104,,,F,0
G0_0105,,,F,0
G0_0106,,,F,0
G0_0107,,,F,0
G0_0108,,,F,0
G0_0109,,,M,0
G0_0110,,,M,0
G0_0111,,,F,0
G0_0112,,,F,0
G0_0113,,,F,0
G0_0114,,,M,0
G0_0115,,,M,0
G0_0116,,,F,0
G0_0117,,,F,0
G0_0118,,,F,0
G0_0119,,,M,0
G0_0120,,,M,0
G0_0121,,,M,0
G0_0122,,,M,0
G0_0123,,,M,0
G0_0124,,,F,0
G0_0125,,,F,0
G0_0126,,,M,0
G0_0127,,,M,0
G0_0128,,,F,0
G0_0129,,,M,0
G0_0130,,,M,0
G0_0131,,,F,0
G0_0132,,,M,0
G0_0133,,,M,0
G0_0134,,,M,0
G0_0135,,,F,0
G0_0136,,,F,0
G0_0137,,,M,0
G0_0138,,,F,0
G0_0139,,,M,0
G0_0140,,,M,0
G0_0141,,,F,0
G0_0142,,,F,0
G0_0143,,,F,0
G0_0144,,,M,0
G0_0145,,,M,0
G0_0146,,,F,0
G0_0147,,,F,0
G0_0148,,,M,0
G0_0149,,,F,0
G0_0150,,,M,0
G0_0151,,,M,0
G0_0152,,,F,0
G0_0153,,,M,0
G0_0154,,,F,0
G0_0155,,,M,0
G0_0156,,,F,0
G0_0157,,,F,0
G0_0158,,,F,0
G0_0159,,,M,0
G0_0160,,,M,0
G0_0161,,,F,0
G0_0162,,,F,0
G0_0163,,,F,0
G0_0164,,,F,0
G0_0165,,,F,0
G0_0166,,,M,0
G0_0167,,,M,0
G0_0168,,,M,0
G0_0169,,,F,0
G0_0170,,,M,0
G0_0171,,,F,0
G0_0172,,,M,0
G0_0173,,,M,0
G0_0174,,,F,0
G0_0175,,,M,0
G0_0176,,,M,0
G0_0177,,,M,0
G0_0178,,,M,0
G0_0179,,,F,0
G0_0180,,,F,0
G0_0181,,,M,0
G0_0182,,,M,0
G0_0183,,,M,0
G0_0184,,,F,0
G0_0185,,,M,0
G0_0186,,,M,0
G0_0187,,,F,0
G0_0188,,,M,0
G0_0189,,,F,0
G0_0190,,,F,0
G0_0191,,,F,0
G0_0192,,,F,0
G0_0193,,,M,0
G0_0194,,,M,0
G0_0195,,,F,0
G0_0196,,,F,0
G0_0197,,,M,0
G0_0198,,,M,0
G0_0199,,,M,0
G0_0200,,,F,0
G0_0201,,,F,0
G0_0202,,,F,0
G0_0203,,,M,0
G0_0204,,,M,0
G0_0205,,,M,0
G0_0206,,,M,0
G0_0207,,,F,0
G0_0208,,,F,0
G0_0209,,,F,0
G0_0210,,,M,0
G0_0211,,,M,0
G0_0212,,,F,0
G0_0213,,,M,0
G0_0214,,,F,0
G0_0215,,,M,0
G0_0216,,,F,0
G0_0217,,,M,0
G0_0218,,,F,0
G0_0219,,,F,0
G0_0220,,,F,0
G0_0221,,,M,0
G0_0222,,,F,0
G0_0223,,,F,0
G0_0224,,,F,0
G0_0225,,,M,0
G0_0226,,,M,0
G0_0227,,,M,0
G0_0228,,,M,0
G0_0229,,,F,0
G0_0230,,,M,0
G0_0231,,,M,0
G0_0232,,,F,0
G0_0233,,,M,0
G0_0234,,,F,0
G0_0235,,,M,0
G0_0236,,,M,0
G0_0237,,,M,0
G0_0238,,,F,0
G0_0239,,,F,0
G0_0240,,,M,0
G0_0241,,,F,0
G0_0242,,,M,0
G0_0243,,,M,0
G0_0244,,,M,0
G0_0245,,,M,0
G0_0246,,,M,0
G0_0247,,,M,0
G0_0248,,,F,0
G0_0249,,,M,0
G0_0250,,,F,0
G0_0251,,,F,0
G0_0252,,,F,0
G0_0253,,,M,0
G0_0254,,,M,0
G0_0255,,,F,0
G0_0256,,,M,0
G0_0257,,,F,0
G0_0258,,,F,0
G0_0259,,,M,0
G0_0260,,,M,0
G0_0261,,,F,0
G0_0262,,,M,0
G0_0263,,,F,0
G0_0264,,,F,0
G0_0265,,,F,0
G0_0266,,,F,0
G0_0267,,,F,0
G0_0268,,,M,0
G0_0269,,,M,0
G0_0270,,,F,0
G0_0271,,,M,0
G0_0272,,,M,0
G0_0273,,,M,0
G0_0274,,,F,0
G0_0275,,,M,0
G0_0276,,,F,0
G0_0277,,,F,0
G0_0278,,,F,0
G0_0279,,,F,0
G0_0280,,,F,0
G0_0281,,,M,0
G0_0282,,,F,0
G0_0283,,,M,0
G0_0284,,,F,0
G0_0285,,,F,0
G0_0286,,,M,0
G0_0287,,,M,0
G0_0288,,,M,0
G0_0289,,,F,0
G0_0290,,,F,0
G0_0291,,,F,0
G0_0292,,,F,0
G0_0293,,,F,0
G0_0294,,,M,0
G0_0295,,,M,0
G0_0296,,,M,0
G0_0297,,,M,0
G0_0298,,,F,0
G0_0299,,,M,0
G0_0300,,,M,0
G0_0301,,,F,0
G0_0302,,,F,0
G0_0303,,,F,0
G0_0304,,,M,0
G0_0305,,,F,0
G0_0306,,,M,0
G0_0307,,,F,0
G0_0308,,,M,0
G0_0309,,,F,0
G0_0310,,,M,0
G0_0311,,,M,0
G0_0312,,,F,0
G0_0313,,,F,0
G0_0314,,,F,0
G0_0315,,,M,0
G0_0316,,,F,0
G0_0317,,,M,0
G0_0318,,,F,0
G0_0319,,,M,0
G0_0320,,,M,0
G0_0321,,,M,0
G0_0322,,,M,0
G0_0323,,,F,0
G0_0324,,,M,0
G0_0325,,,F,0
G0_0326,,,F,0
G0_0327,,,M,0
G0_0328,,,M,0
G0_0329,,,F,0
G0_0330,,,M,0
G0_0331,,,F,0
G0_0332,,,M,0
G0_0333,,,M,0
G0_0334,,,F,0
G0_0335,,,M,0
G0_0336,,,F,0
G0_0337,,,M,0
G0_0338,,,M,0
G0_0339,,,F,0
G0_0340,,,F,0
G0_0341,,,F,0
G0_0342,,,M,0
G0_0343,,,M,0
G0_0344,,,M,0
G0_0345,,,M,0
G0_0346,,,F,0
G0_0347,,,F,0
G0_0348,,,F,0
G0_0349,,,F,0
G0_0350,,,M,0
G0_0351,,,M,0
G0_0352,,,F,0
G0_0353,,,F,0
G0_0354,,,M,0
G0_0355,,,F,0
G0_0356,,,M,0
G0_0357,,,M,0
G0_0358,,,F,0
G0_0359,,,M,0
G0_0360,,,F,0
G0_0361,,,M,0
G0_0362,,,F,0
G0_0363,,,M,0
G0_0364,,,F,0
G0_0365,,,F,0
G0_0366,,,M,0
G0_0367,,,F,0
G0_0368,,,M,0
G0_0369,,,M,0
G0_0370,,,F,0
G0_0371,,,F,0
G0_0372,,,F,0
G0_0373,,,M,0
G0_0374,,,F,0
G0_0375,,,F,0
G0_0376,,,F,0
G0_0377,,,F,0
G0_0378,,,M,0
G0_0379,,,F,0
G0_0380,,,F,0
G0_0381,,,F,0
G0_0382,,,F,0
G0_0383,,,F,0
G0_0384,,,F,0
G0_0385,,,F,0
G0_0386,,,F,0
G0_0387,,,M,0
G0_0388,,,M,0
G0_0389,,,F,0
G0_0390,,,M,0
G0_0391,,,F,0
G0_0392,,,F,0
G0_0393,,,F,0
G0_0394,,,F,0
G0_0395,,,F,0
G0_0396,,,F,0
G0_0397,,,F,0
G0_0398,,,M,0
G0_0399,,,M,0
G0_0400,,,F,0
G0_0401,,,M,0
G0_0402,,,M,0
G0_0403,,,F,0
G0_0404,,,F,0
G0_0405,,,M,0
G0_0406,,,F,0
G0_0407,,,M,0
G0_0408,,,F,0
G0_0409,,,F,0
G0_0410,,,M,0
G0_0411,,,F,0
G0_0412,,,M,0
G0_0413,,,M,0
G0_0414,,,M,0
G0_0415,,,F,0
G0_0416,,,F,0
G0_0417,,,M,0
G0_0418,,,F,0
G0_0419,,,M,0
G0_0420,,,M,0
G0_0421,,,F,0
G0_0422,,,F,0
G0_0423,,,F,0
G0_0424,,,F,0
G0_0425,,,M,0
G0_0426,,,F,0
G0_0427,,,F,0
G0_0428,,,F,0
G0_0429,,,M,0
G0_0430,,,M,0
G0_0431,,,M,0
G0_0432,,,M,0
G0_0433,,,M,0
G0_0434,,,F,0
G0_0435,,,F,0
G0_0436,,,M,0
G0_0437,,,F,0
G0_0438,,,M,0
G0_0439,,,M,0
G0_0440,,,F,0
G0_0441,,,M,0
G0_0442,,,M,0
G0_0443,,,F,0
G0_0444,,,M,0
G0_0445,,,F,0
G0_0446,,,F,0
G0_0447,,,M,0
G0_0448,,,F,0
G0_0449,,,F,0
G0_0450,,,F,0
G0_0451,,,M,0
G0_0452,,,F,0
G0_0453,,,M,0
G0_0454,,,F,0
G0_0455,,,M,0
G0_0456,,,F,0
G0_0457,,,F,0
G0_0458,,,M,0
G0_0459,,,M,0
G0_0460,,,M,0
G0_0461,,,F,0
G0_0462,,,F,0
G0_0463,,,M,0
G0_0464,,,F,0
G0_0465,,,M,0
G0_0466,,,F,0
G0_0467,,,M,0
G0_0468,,,M,0
G0_0469,,,M,0
G0_0470,,,M,0
G0_0471,,,M,0
G0_0472,,,F,0
G0_0473,,,M,0
G0_0474,,,M,0
G0_0475,,,F,0
G0_0476,,,F,0
G0_0477,,,F,0
G0_0478,,,M,0
G0_0479,,,M,0
G0_0480,,,F,0
G0_0481,,,F,0
G0_0482,,,M,0
G0_0483,,,M,0
G0_0484,,,F,0
G0_0485,,,M,0
G0_0486,,,F,0
G0_0487,,,M,0
G0_0488,,,F,0
G0_0489,,,F,0
G0_0490,,,F,0
G0_0491,,,F,0
G0_0492,,,M,0
G0_0493,,,F,0
G0_0494,,,M,0
G0_0495,,,M,0
G0_0496,,,M,0
G0_0497,,,F,0
G0_0498,,,M,0
G0_0499,,,F,0
G0_0500,,,M,0
G0_0501,,,M,0
G0_0502,,,F,0
G0_0503,,,F,0
G0_0504,,,M,0
G0_0505,,,F,0
G0_0506,,,F,0
G0_0507,,,F,0
G0_0508,,,F,0
G0_0509,,,M,0
G0_0510,,,F,0
G0_0511,,,M,0
G0_0512,,,F,0
G0_0513,,,F,0
G0_0514,,,M,0
G0_0515,,,F,0
G0_0516,,,F,0
G0_0517,,,M,0
G0_0518,,,M,0
G0_0519,,,M,0
G0_0520,,,F,0
G0_0521,,,F,0
G0_0522,,,F,0
G0_0523,,,M,0
G0_0524,,,M,0
G0_0525,,,F,0
G0_0526,,,M,0
G0_0527,,,M,0
G0_0528,,,F,0
G0_0529,,,M,0
G0_0530,,,M,0
G0_0531,,,F,0
G0_0532,,,M,0
G0_0533,,,M,0
G0_0534,,,M,0
G0_0535,,,M,0
G0_0536,,,M,0
