id,bw42_g,generation,batch
G0_0001,2587.9,0,G0
G0_0002,2933.8,0,G0
G0_0003,2557.4,0,G0
G0_0004,2818.8,0,G0
G0_0005,2548.2,0,G0
G0_0006,2796.2,0,G0
G0_0007,2953.6,0,G0
G0_0008,2586.6,0,G0
G0_0009,2640.3,0,G0
G0_0010,2742.7,0,G0
G0_0011,2729.1,0,G0
G0_0012,2351.5,0,G0
G0_0013,2516.5,0,G0
G0_0014,2810.9,0,G0
G0_0015,2858.4,0,G0
G0_0016,2768.0,0,G0
G0_0017,3369.8,0,G0
G0_0018,3094.5,0,G0
G0_0019,3134.3,0,G0
G0_0020,2851.4,0,G0
G0_0021,2936.1,0,G0
G0_0022,3133.9,0,G0
G0_0023,2786.0,0,G0
G0_0024,2701.9,0,G0
G0_0025,2980.5,0,G0
G0_0026,2835.0,0,G0
G0_0027,2736.7,0,G0
G0_0028,3091.8,0,G0
G0_0029,2759.3,0,G0
G0_0030,3004.2,0,G0
G0_0031,2573.1,0,G0
G0_0032,2576.0,0,G0
G0_0033,2638.5,0,G0
G0_0034,3432.1,0,G0
G0_0035,2887.1,0,G0
G0_0036,3387.7,0,G0
G0_0037,2843.3,0,G0
G0_0038,2602.5,0,G0
G0_0039,2663.8,0,G0
G0_0040,2784.5,0,G0
G0_0041,2895.9,0,G0
G0_0042,2747.0,0,G0
G0_0043,3115.4,0,G0
G0_0044,3184.2,0,G0
G0_0045,2544.3,0,G0
G0_0046,2879.4,0,G0
G0_0047,2618.3,0,G0
G0_0048,2991.9,0,G0
G0_0049,3065.6,0,G0
G0_0050,2535.4,0,G0
G0_0051,2680.6,0,G0
G0_0052,2570.6,0,G0
G0_0053,2895.1,0,G0
G0_0054,2611.8,0,G0
G0_0055,2903.8,0,G0
G0_0056,2817.0,0,G0
G0_0057,2690.5,0,G0
G0_0058,2254.3,0,G0
G0_0059,2868.0,0,G0
G0_0060,3247.1,0,G0
G0_0061,2957.2,0,G0
G0_0062,2677.4,0,G0
G0_0063,2607.7,0,G0
G0_0064,2794.5,0,G0
G0_0065,3107.3,0,G0
G0_0066,2809.5,0,G0
G0_0067,3034.6,0,G0
G0_0068,2586.2,0,G0
G0_0069,2840.6,0,G0
G0_0070,3322.9,0,G0
G0_0071,2819.2,0,G0
G0_0072,2575.9,0,G0
G0_0073,2988.7,0,G0
G0_0074,2754.4,0,G0
G0_0075,2924.0,0,G0
G0_0076,2441.3,0,G0
