id,decision,call_rate,bw42_g,sex,sire,dam,reasons,detail
G0_0001,通过,1.0,2587.9,M,,,,
G0_0002,通过,1.0,2933.8,F,,,,
G0_0003,通过,1.0,2557.4,M,,,,
G0_0004,通过,1.0,2818.8,F,,,,
G0_0005,通过,1.0,2548.2,M,,,,
G0_0006,通过,1.0,2796.2,M,,,,
G0_0007,通过,1.0,2953.6,M,,,,
G0_0008,通过,1.0,2586.6,M,,,,
G0_0009,通过,1.0,2640.3,F,,,,
G0_0010,通过,1.0,2742.7,F,,,,
G0_0011,通过,1.0,2729.1,M,,,,
G0_0012,通过,1.0,2351.5,F,,,,
G0_0013,通过,1.0,2516.5,M,,,,
G0_0014,通过,1.0,2810.9,M,,,,
G0_0015,通过,1.0,2858.4,F,,,,
G0_0016,通过,1.0,2768.0,M,,,,
G0_0017,通过,1.0,3369.8,M,,,,
G0_0018,通过,1.0,3094.5,F,,,,
G0_0019,通过,1.0,3134.3,F,,,,
G0_0020,通过,1.0,2851.4,M,,,,
G0_0021,通过,1.0,2936.1,F,,,,
G0_0022,通过,1.0,3133.9,M,,,,
G0_0023,通过,1.0,2786.0,M,,,,
G0_0024,通过,1.0,2701.9,F,,,,
G0_0025,通过,1.0,2980.5,M,,,,
G0_0026,通过,1.0,2835.0,F,,,,
G0_0027,通过,1.0,2736.7,M,,,,
G0_0028,通过,1.0,3091.8,M,,,,
G0_0029,通过,1.0,2759.3,F,,,,
G0_0030,通过,1.0,3004.2,F,,,,
G0_0031,通过,1.0,2573.1,M,,,,
G0_0032,通过,1.0,2576.0,F,,,,
G0_0033,通过,1.0,2638.5,M,,,,
G0_0034,通过,1.0,3432.1,F,,,,
G0_0035,通过,1.0,2887.1,F,,,,
G0_0036,通过,1.0,3387.7,M,,,,
G0_0037,通过,1.0,2843.3,M,,,,
G0_0038,通过,1.0,2602.5,F,,,,
G0_0039,通过,1.0,2663.8,M,,,,
G0_0040,通过,1.0,2784.5,M,,,,
G0_0041,通过,1.0,2895.9,F,,,,
G0_0042,通过,1.0,2747.0,F,,,,
G0_0043,通过,1.0,3115.4,M,,,,
G0_0044,通过,1.0,3184.2,M,,,,
G0_0045,通过,1.0,2544.3,F,,,,
G0_0046,通过,1.0,2879.4,M,,,,
G0_0047,通过,1.0,2618.3,F,,,,
G0_0048,通过,1.0,2991.9,M,,,,
G0_0049,通过,1.0,3065.6,M,,,,
G0_0050,通过,1.0,2535.4,M,,,,
G0_0051,通过,1.0,2680.6,F,,,,
G0_0052,通过,1.0,2570.6,M,,,,
G0_0053,通过,1.0,2895.1,F,,,,
G0_0054,通过,1.0,2611.8,F,,,,
G0_0055,通过,1.0,2903.8,F,,,,
G0_0056,通过,1.0,2817.0,F,,,,
G0_0057,通过,1.0,2690.5,F,,,,
G0_0058,通过,1.0,2254.3,M,,,,
G0_0059,通过,1.0,2868.0,M,,,,
G0_0060,通过,1.0,3247.1,F,,,,
G0_0061,通过,1.0,2957.2,F,,,,
G0_0062,通过,1.0,2677.4,F,,,,
G0_0063,通过,1.0,2607.7,M,,,,
G0_0064,通过,1.0,2794.5,M,,,,
G0_0065,通过,1.0,3107.3,F,,,,
G0_0066,通过,1.0,2809.5,M,,,,
G0_0067,通过,1.0,3034.6,M,,,,
G0_0068,通过,1.0,2586.2,M,,,,
G0_0069,通过,1.0,2840.6,M,,,,
G0_0070,通过,1.0,3322.9,M,,,,
G0_0071,通过,1.0,2819.2,M,,,,
G0_0072,通过,1.0,2575.9,F,,,,
G0_0073,通过,1.0,2988.7,F,,,,
G0_0074,通过,1.0,2754.4,F,,,,
G0_0075,通过,1.0,2924.0,M,,,,
G0_0076,通过,1.0,2441.3,M,,,,
G0_0077,通过,1.0,2879.0,M,,,,
G0_0078,通过,1.0,2697.8,F,,,,
G0_0079,通过,1.0,2855.4,M,,,,
G0_0080,通过,1.0,3010.0,F,,,,
G0_0081,通过,1.0,2733.5,F,,,,
G0_0082,通过,1.0,2208.9,M,,,,
G0_0083,通过,1.0,2760.5,F,,,,
G0_0084,通过,1.0,2842.6,F,,,,
G0_0085,通过,1.0,3166.1,F,,,,
G0_0086,通过,1.0,3132.4,F,,,,
G0_0087,通过,1.0,2537.6,M,,,,
G0_0088,通过,1.0,2439.7,M,,,,
G0_0089,通过,1.0,2562.9,F,,,,
G0_0090,通过,1.0,2620.0,F,,,,
G0_0091,通过,1.0,2700.6,M,,,,
G0_0092,通过,1.0,3320.0,M,,,,
G0_0093,通过,1.0,2995.1,F,,,,
G0_0094,通过,1.0,3394.8,M,,,,
G0_0095,通过,1.0,2642.9,F,,,,
G0_0096,通过,1.0,2771.6,F,,,,
G0_0097,通过,1.0,2347.0,M,,,,
G0_0098,通过,1.0,2018.8,F,,,,
G0_0099,通过,1.0,2495.5,M,,,,
G0_0100,通过,1.0,3167.3,F,,,,
G0_0101,通过,1.0,2797.1,F,,,,
G0_0102,通过,1.0,2835.0,F,,,,
G0_0103,通过,1.0,2671.4,M,,,,
G0_0104,通过,1.0,2664.5,F,,,,
G0_0105,通过,1.0,2742.8,F,,,,
G0_0106,通过,1.0,2526.1,F,,,,
G0_0107,通过,1.0,2745.6,F,,,,
G0_0108,通过,1.0,2847.1,F,,,,
G0_0109,通过,1.0,3011.2,M,,,,
G0_0110,通过,1.0,3385.5,M,,,,
G0_0111,通过,1.0,2715.0,F,,,,
G0_0112,通过,1.0,2472.0,F,,,,
G0_0113,通过,1.0,3103.5,F,,,,
G0_0114,通过,1.0,3152.0,M,,,,
G0_0115,通过,1.0,3214.2,M,,,,
