idx,id,sex,sire,dam,gebv,gebv_percentile,carrier_LR1,carrier_LR2
390,G2_0416,F,G1_0178,G1_0135,410.693,100.0,-,-
358,G2_0383,M,G1_0163,G1_0242,405.667,99.8,-,-
339,G2_0364,F,G1_0178,G1_0390,390.329,99.6,-,-
320,G2_0344,M,G1_0384,G1_0027,381.106,99.4,-,-
302,G2_0325,F,G1_0152,G1_0171,370.244,99.2,-,-
418,G2_0445,M,G1_0036,G1_0360,360.216,99.0,-,-
384,G2_0410,M,G1_0287,G1_0505,357.174,98.8,-,-
477,G2_0508,F,G1_0358,G1_0021,357.162,98.6,-,-
316,G2_0339,M,G1_0158,G1_0456,356.56,98.4,-,-
252,G2_0273,F,G1_0358,G1_0021,353.361,98.2,-,-
236,G2_0257,F,G1_0287,G1_0505,344.776,98.0,-,-
499,G2_0530,M,G1_0163,G1_0242,343.692,97.8,-,-
440,G2_0468,M,G1_0406,G1_0430,341.093,97.6,-,携带
214,G2_0233,F,G1_0326,G1_0332,339.888,97.4,-,-
327,G2_0351,F,G1_0178,G1_0135,336.733,97.2,-,-
193,G2_0209,M,G1_0406,G1_0023,331.638,97.0,-,携带
137,G2_0149,M,G1_0406,G1_0430,329.431,96.8,-,携带
294,G2_0317,F,G1_0248,G1_0447,328.058,96.6,-,-
394,G2_0420,F,G1_0521,G1_0495,327.38,96.4,-,-
182,G2_0197,M,G1_0152,G1_0171,327.235,96.2,-,-
416,G2_0443,M,G1_0358,G1_0021,322.847,96.0,-,-
133,G2_0145,F,G1_0406,G1_0430,318.463,95.8,-,携带
57,G2_0061,M,G1_0326,G1_0332,318.334,95.6,-,-
0,G2_0001,F,G1_0326,G1_0332,311.727,95.4,-,-
209,G2_0227,M,G1_0406,G1_0023,306.112,95.2,-,携带
323,G2_0347,M,G1_0358,G1_0021,305.191,95.0,-,-
138,G2_0150,M,G1_0407,G1_0345,304.391,94.8,-,-
100,G2_0110,M,G1_0202,G1_0268,304.187,94.6,-,-
363,G2_0388,M,G1_0313,G1_0176,304.074,94.4,-,-
496,G2_0527,F,G1_0140,G1_0462,303.467,94.2,-,-
79,G2_0087,M,G1_0358,G1_0021,303.372,94.0,-,-
494,G2_0525,F,G1_0326,G1_0332,302.814,93.8,-,-
15,G2_0017,M,G1_0521,G1_0495,301.939,93.6,-,携带
93,G2_0103,M,G1_0178,G1_0135,300.303,93.4,-,-
171,G2_0185,M,G1_0384,G1_0295,298.311,93.2,-,-
377,G2_0403,F,G1_0202,G1_0385,296.376,93.0,-,-
218,G2_0238,F,G1_0034,G1_0091,294.554,92.8,-,-
287,G2_0310,F,G1_0424,G1_0441,293.513,92.6,-,-
108,G2_0118,F,G1_0521,G1_0495,291.724,92.4,-,携带
128,G2_0139,F,G1_0178,G1_0390,291.181,92.2,-,-
368,G2_0393,F,G1_0358,G1_0021,291.167,92.0,-,-
147,G2_0159,F,G1_0036,G1_0360,289.76,91.8,-,-
288,G2_0311,M,G1_0178,G1_0390,285.591,91.6,-,-
152,G2_0164,M,G1_0010,G1_0138,285.308,91.4,-,-
115,G2_0125,M,G1_0152,G1_0171,284.647,91.2,-,-
32,G2_0035,M,G1_0103,G1_0415,284.564,91.0,-,-
404,G2_0431,M,G1_0036,G1_0360,283.874,90.8,-,-
59,G2_0063,M,G1_0433,G1_0078,283.041,90.6,-,-
451,G2_0480,F,G1_0152,G1_0171,282.996,90.4,-,-
282,G2_0305,F,G1_0384,G1_0027,282.645,90.2,-,-
441,G2_0469,F,G1_0036,G1_0360,282.557,90.0,-,-
439,G2_0467,F,G1_0170,G1_0075,281.396,89.8,-,-
308,G2_0331,M,G1_0163,G1_0242,281.055,89.6,-,-
254,G2_0275,M,G1_0200,G1_0206,280.769,89.4,-,-
81,G2_0089,F,G1_0036,G1_0404,279.742,89.2,-,-
388,G2_0414,M,G1_0178,G1_0390,279.431,89.0,-,携带
178,G2_0192,M,G1_0313,G1_0342,278.53,88.8,-,-
450,G2_0479,F,G1_0326,G1_0332,276.818,88.6,-,-
66,G2_0072,M,G1_0200,G1_0206,276.522,88.4,-,-
192,G2_0207,F,G1_0170,G1_0075,275.797,88.2,-,-
270,G2_0293,M,G1_0202,G1_0268,273.935,88.0,-,-
433,G2_0461,F,G1_0085,G1_0013,273.49,87.8,-,-
160,G2_0172,M,G1_0010,G1_0138,272.574,87.6,-,-
117,G2_0128,F,G1_0287,G1_0505,271.923,87.4,-,-
427,G2_0455,F,G1_0313,G1_0342,271.013,87.2,-,-
265,G2_0287,F,G1_0010,G1_0239,269.343,87.0,-,-
290,G2_0313,M,G1_0521,G1_0495,268.113,86.8,-,携带
238,G2_0259,F,G1_0140,G1_0462,267.586,86.6,-,-
215,G2_0234,F,G1_0011,G1_0068,267.371,86.4,-,-
304,G2_0327,M,G1_0158,G1_0324,266.686,86.2,-,-
3,G2_0004,F,G1_0178,G1_0390,265.93,86.0,-,携带
87,G2_0096,F,G1_0011,G1_0189,264.443,85.8,-,-
202,G2_0219,M,G1_0090,G1_0497,263.984,85.6,-,-
333,G2_0358,M,G1_0384,G1_0027,263.257,85.4,-,-
412,G2_0439,F,G1_0152,G1_0171,261.735,85.2,-,-
382,G2_0408,F,G1_0010,G1_0138,261.397,85.0,-,-
403,G2_0430,F,G1_0202,G1_0385,261.383,84.8,-,-
38,G2_0041,M,G1_0358,G1_0339,261.052,84.6,-,-
262,G2_0284,M,G1_0287,G1_0305,259.964,84.4,-,-
397,G2_0424,F,G1_0424,G1_0441,259.015,84.2,-,携带
94,G2_0104,M,G1_0406,G1_0430,257.746,84.0,-,-
156,G2_0168,M,G1_0178,G1_0135,255.335,83.8,-,-
106,G2_0116,M,G1_0313,G1_0342,254.957,83.6,-,-
454,G2_0483,F,G1_0384,G1_0295,253.91,83.4,-,-
491,G2_0522,M,G1_0011,G1_0068,252.182,83.2,-,-
405,G2_0432,M,G1_0178,G1_0135,251.964,83.0,-,-
135,G2_0147,F,G1_0361,G1_0387,250.713,82.8,-,-
148,G2_0160,F,G1_0205,G1_0015,250.367,82.6,-,携带
47,G2_0050,M,G1_0407,G1_0345,249.746,82.4,-,-
326,G2_0350,F,G1_0267,G1_0109,249.737,82.2,-,-
80,G2_0088,M,G1_0424,G1_0350,249.511,82.0,-,-
345,G2_0370,F,G1_0358,G1_0339,248.749,81.8,-,-
190,G2_0205,M,G1_0140,G1_0462,248.67,81.6,-,-
9,G2_0011,M,G1_0140,G1_0455,248.25,81.4,-,-
264,G2_0286,M,G1_0287,G1_0505,248.23,81.2,-,-
407,G2_0434,F,G1_0085,G1_0162,248.103,81.0,-,-
462,G2_0492,M,G1_0158,G1_0456,246.646,80.8,-,-
389,G2_0415,M,G1_0036,G1_0404,245.958,80.6,-,-
446,G2_0474,M,G1_0010,G1_0138,244.562,80.4,-,-
222,G2_0242,M,G1_0178,G1_0135,244.353,80.2,-,-
419,G2_0446,F,G1_0011,G1_0189,243.834,80.0,-,-
311,G2_0334,F,G1_0384,G1_0295,243.642,79.8,-,-
228,G2_0248,M,G1_0034,G1_0091,243.611,79.6,-,-
478,G2_0509,M,G1_0467,G1_0067,243.277,79.4,-,-
296,G2_0319,F,G1_0170,G1_0373,242.614,79.2,-,-
272,G2_0295,F,G1_0406,G1_0023,242.439,79.0,-,-
5,G2_0007,F,G1_0085,G1_0162,241.289,78.8,-,-
88,G2_0097,M,G1_0152,G1_0171,240.923,78.6,-,-
44,G2_0047,F,G1_0326,G1_0332,240.598,78.4,-,-
488,G2_0519,F,G1_0170,G1_0373,240.426,78.2,-,-
65,G2_0071,M,G1_0361,G1_0387,239.443,78.0,-,-
479,G2_0510,M,G1_0326,G1_0300,239.308,77.8,-,携带
101,G2_0111,M,G1_0103,G1_0198,239.158,77.6,携带,-
132,G2_0144,F,G1_0085,G1_0162,239.103,77.4,-,-
465,G2_0496,M,G1_0202,G1_0268,238.82,77.2,-,-
319,G2_0343,M,G1_0011,G1_0068,237.767,77.0,-,-
306,G2_0329,F,G1_0326,G1_0332,237.455,76.8,-,-
497,G2_0528,F,G1_0085,G1_0162,237.382,76.6,-,-
24,G2_0026,F,G1_0170,G1_0075,237.079,76.4,携带,-
1,G2_0002,F,G1_0384,G1_0027,236.007,76.2,-,-
188,G2_0203,F,G1_0034,G1_0091,235.579,76.0,-,-
61,G2_0065,F,G1_0152,G1_0417,231.869,75.8,-,-
442,G2_0470,M,G1_0163,G1_0242,231.67,75.6,-,-
16,G2_0018,F,G1_0409,G1_0480,231.558,75.4,-,-
307,G2_0330,M,G1_0170,G1_0373,231.353,75.2,-,-
4,G2_0005,M,G1_0384,G1_0027,230.849,75.0,-,-
481,G2_0512,F,G1_0313,G1_0342,230.669,74.8,-,-
105,G2_0115,M,G1_0036,G1_0404,230.507,74.6,-,-
487,G2_0518,M,G1_0287,G1_0305,229.993,74.4,-,-
142,G2_0154,F,G1_0140,G1_0455,229.446,74.2,-,-
125,G2_0136,F,G1_0140,G1_0455,229.19,74.0,-,-
122,G2_0133,F,G1_0085,G1_0162,228.928,73.8,-,-
373,G2_0399,F,G1_0326,G1_0300,228.648,73.6,-,-
443,G2_0471,F,G1_0140,G1_0455,227.796,73.4,-,-
461,G2_0491,F,G1_0140,G1_0462,226.775,73.2,-,-
318,G2_0342,F,G1_0158,G1_0324,226.179,73.0,-,-
31,G2_0034,F,G1_0358,G1_0021,224.385,72.8,-,-
474,G2_0505,F,G1_0409,G1_0179,223.929,72.6,-,-
194,G2_0210,M,G1_0267,G1_0109,223.298,72.4,携带,-
413,G2_0440,F,G1_0424,G1_0350,222.805,72.2,-,-
357,G2_0382,F,G1_0267,G1_0109,222.058,72.0,-,-
224,G2_0244,F,G1_0085,G1_0162,221.888,71.8,-,-
422,G2_0449,M,G1_0521,G1_0495,220.889,71.6,-,-
283,G2_0306,F,G1_0406,G1_0430,220.69,71.4,-,携带
396,G2_0422,F,G1_0170,G1_0075,218.898,71.2,-,-
70,G2_0077,F,G1_0237,G1_0364,218.771,71.0,-,-
467,G2_0498,F,G1_0287,G1_0505,218.453,70.8,-,-
243,G2_0264,M,G1_0433,G1_0078,218.208,70.6,-,-
92,G2_0102,M,G1_0205,G1_0368,217.694,70.4,-,携带
109,G2_0119,F,G1_0521,G1_0062,217.417,70.2,携带,携带
337,G2_0362,F,G1_0152,G1_0171,216.57,70.0,-,-
28,G2_0030,M,G1_0152,G1_0417,216.28,69.8,-,-
314,G2_0337,F,G1_0287,G1_0305,216.234,69.6,-,-
23,G2_0025,F,G1_0178,G1_0135,215.042,69.4,-,-
241,G2_0262,F,G1_0384,G1_0295,215.022,69.2,-,-
428,G2_0456,F,G1_0034,G1_0091,214.674,69.0,携带,-
309,G2_0332,F,G1_0085,G1_0162,214.47,68.8,-,-
112,G2_0122,M,G1_0152,G1_0171,214.184,68.6,-,-
124,G2_0135,F,G1_0384,G1_0027,213.48,68.4,-,-
14,G2_0016,F,G1_0011,G1_0189,212.973,68.2,-,-
85,G2_0094,F,G1_0085,G1_0162,212.964,68.0,-,-
21,G2_0023,M,G1_0384,G1_0027,212.922,67.8,-,-
43,G2_0046,F,G1_0407,G1_0345,212.579,67.6,-,-
258,G2_0279,F,G1_0406,G1_0023,212.217,67.4,-,携带
289,G2_0312,M,G1_0034,G1_0130,211.339,67.2,-,-
248,G2_0269,F,G1_0406,G1_0023,210.206,67.0,-,-
372,G2_0398,M,G1_0407,G1_0345,210.027,66.8,-,-
8,G2_0010,F,G1_0010,G1_0138,209.843,66.6,-,-
352,G2_0377,M,G1_0406,G1_0430,209.65,66.4,-,携带
56,G2_0060,M,G1_0085,G1_0013,209.633,66.2,-,-
225,G2_0245,M,G1_0407,G1_0319,209.549,66.0,携带,-
75,G2_0083,F,G1_0407,G1_0345,209.275,65.8,-,-
113,G2_0123,F,G1_0467,G1_0203,208.419,65.6,-,-
74,G2_0081,M,G1_0361,G1_0387,206.883,65.4,-,-
361,G2_0386,F,G1_0287,G1_0305,206.746,65.2,-,-
130,G2_0142,F,G1_0103,G1_0198,202.671,65.0,携带,-
391,G2_0417,M,G1_0085,G1_0162,202.495,64.8,-,-
161,G2_0173,F,G1_0170,G1_0373,202.262,64.6,-,-
145,G2_0157,F,G1_0183,G1_0132,201.822,64.4,-,携带
191,G2_0206,M,G1_0326,G1_0300,201.756,64.2,-,携带
72,G2_0079,M,G1_0034,G1_0130,201.123,64.0,-,-
495,G2_0526,F,G1_0205,G1_0015,200.997,63.8,-,携带
114,G2_0124,F,G1_0267,G1_0109,200.266,63.6,携带,-
375,G2_0401,F,G1_0158,G1_0456,200.266,63.4,-,携带
324,G2_0348,M,G1_0158,G1_0456,199.844,63.2,-,-
140,G2_0152,M,G1_0521,G1_0495,199.771,63.0,-,-
233,G2_0254,F,G1_0313,G1_0176,199.099,62.8,-,-
45,G2_0048,F,G1_0267,G1_0109,198.961,62.6,携带,-
174,G2_0188,M,G1_0010,G1_0239,198.827,62.4,-,-
96,G2_0106,M,G1_0326,G1_0300,198.705,62.2,-,携带
356,G2_0381,M,G1_0248,G1_0321,198.178,62.0,携带,-
159,G2_0171,M,G1_0326,G1_0332,198.13,61.8,-,-
249,G2_0270,M,G1_0140,G1_0462,197.642,61.6,-,-
185,G2_0200,M,G1_0313,G1_0176,197.052,61.4,-,-
86,G2_0095,F,G1_0384,G1_0027,197.022,61.2,-,-
292,G2_0315,F,G1_0267,G1_0109,196.795,61.0,携带,-
268,G2_0290,F,G1_0521,G1_0062,196.588,60.8,-,携带
157,G2_0169,F,G1_0384,G1_0295,195.481,60.6,-,-
332,G2_0357,F,G1_0205,G1_0015,195.115,60.4,-,-
291,G2_0314,M,G1_0287,G1_0505,194.218,60.2,-,-
229,G2_0249,M,G1_0326,G1_0332,193.702,60.0,-,-
321,G2_0345,M,G1_0424,G1_0350,193.675,59.8,-,-
27,G2_0029,M,G1_0407,G1_0345,193.302,59.6,-,-
247,G2_0268,F,G1_0409,G1_0179,193.071,59.4,-,-
50,G2_0054,M,G1_0521,G1_0062,193.016,59.2,-,-
33,G2_0036,F,G1_0246,G1_0222,192.87,59.0,-,-
366,G2_0391,M,G1_0424,G1_0350,192.715,58.8,-,-
370,G2_0396,M,G1_0036,G1_0360,192.538,58.6,-,-
227,G2_0247,F,G1_0313,G1_0342,191.724,58.4,-,-
58,G2_0062,F,G1_0158,G1_0324,191.127,58.2,-,-
102,G2_0112,M,G1_0433,G1_0175,191.104,58.0,-,-
158,G2_0170,F,G1_0409,G1_0179,190.662,57.8,-,-
445,G2_0473,M,G1_0467,G1_0067,190.092,57.6,-,-
417,G2_0444,F,G1_0361,G1_0371,188.552,57.4,-,-
402,G2_0429,F,G1_0010,G1_0138,188.302,57.2,-,-
274,G2_0297,F,G1_0433,G1_0175,188.018,57.0,携带,-
104,G2_0114,M,G1_0409,G1_0179,187.602,56.8,-,-
435,G2_0463,M,G1_0409,G1_0179,187.286,56.6,-,-
410,G2_0437,M,G1_0248,G1_0321,186.495,56.4,携带,-
196,G2_0212,M,G1_0034,G1_0130,186.342,56.2,-,-
379,G2_0405,F,G1_0407,G1_0345,186.084,56.0,-,-
67,G2_0073,F,G1_0163,G1_0242,185.977,55.8,-,-
17,G2_0019,M,G1_0140,G1_0462,185.436,55.6,-,-
165,G2_0177,F,G1_0433,G1_0175,184.415,55.4,-,-
240,G2_0261,F,G1_0152,G1_0171,184.214,55.2,-,-
456,G2_0485,F,G1_0103,G1_0415,183.623,55.0,-,携带
360,G2_0385,F,G1_0036,G1_0404,183.186,54.8,-,-
175,G2_0189,F,G1_0406,G1_0430,182.839,54.6,-,携带
201,G2_0218,M,G1_0163,G1_0242,182.467,54.4,-,-
438,G2_0466,M,G1_0248,G1_0321,181.802,54.2,携带,-
409,G2_0436,F,G1_0178,G1_0135,181.539,54.0,-,-
385,G2_0411,M,G1_0200,G1_0519,181.278,53.8,-,-
312,G2_0335,F,G1_0248,G1_0447,181.017,53.6,-,-
204,G2_0221,F,G1_0205,G1_0015,180.684,53.4,-,携带
2,G2_0003,M,G1_0406,G1_0430,180.569,53.2,-,携带
475,G2_0506,F,G1_0246,G1_0222,180.562,53.0,-,-
90,G2_0100,M,G1_0267,G1_0109,180.278,52.8,-,-
447,G2_0475,M,G1_0085,G1_0013,180.202,52.6,-,-
425,G2_0453,M,G1_0267,G1_0080,180.009,52.4,-,-
468,G2_0499,F,G1_0409,G1_0480,179.5,52.2,-,-
242,G2_0263,F,G1_0406,G1_0430,179.409,52.0,-,携带
369,G2_0394,M,G1_0158,G1_0456,178.341,51.8,-,-
212,G2_0231,M,G1_0521,G1_0495,178.102,51.6,-,携带
429,G2_0457,M,G1_0010,G1_0239,177.866,51.4,-,-
99,G2_0109,M,G1_0202,G1_0385,175.524,51.2,-,-
155,G2_0167,M,G1_0248,G1_0447,175.128,51.0,-,-
278,G2_0301,M,G1_0158,G1_0456,175.062,50.8,-,-
51,G2_0055,F,G1_0178,G1_0135,173.797,50.6,-,-
338,G2_0363,M,G1_0361,G1_0387,173.652,50.4,-,-
18,G2_0020,F,G1_0205,G1_0368,173.351,50.2,-,-
480,G2_0511,F,G1_0433,G1_0175,172.921,50.0,携带,-
199,G2_0216,M,G1_0152,G1_0417,172.401,49.8,-,-
78,G2_0086,F,G1_0200,G1_0206,171.735,49.6,携带,-
335,G2_0360,F,G1_0467,G1_0067,170.779,49.4,-,-
71,G2_0078,F,G1_0090,G1_0497,170.62,49.2,-,-
469,G2_0500,M,G1_0140,G1_0455,170.297,49.0,-,-
187,G2_0202,M,G1_0152,G1_0417,169.674,48.8,-,-
498,G2_0529,F,G1_0090,G1_0497,169.455,48.6,-,-
325,G2_0349,M,G1_0424,G1_0350,167.924,48.4,-,-
121,G2_0132,F,G1_0358,G1_0339,167.719,48.2,-,-
432,G2_0460,F,G1_0170,G1_0075,166.844,48.0,携带,-
485,G2_0516,M,G1_0170,G1_0075,166.55,47.8,携带,-
483,G2_0514,F,G1_0267,G1_0109,166.479,47.6,-,-
77,G2_0085,M,G1_0010,G1_0239,165.231,47.4,-,-
263,G2_0285,F,G1_0237,G1_0364,164.779,47.2,-,-
149,G2_0161,M,G1_0313,G1_0176,164.259,47.0,-,-
29,G2_0032,F,G1_0267,G1_0109,164.238,46.8,携带,-
434,G2_0462,M,G1_0036,G1_0404,164.169,46.6,-,-
