rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
1,G2_0383,405.67,G2_0416,410.69,408.18,0.0433,
2,G2_0383,405.67,G2_0325,370.24,387.96,0.0197,
3,G2_0344,381.11,G2_0364,390.33,385.72,-0.0252,
4,G2_0383,405.67,G2_0273,353.36,379.51,0.0483,
5,G2_0383,405.67,G2_0257,344.78,375.22,0.0107,
6,G2_0383,405.67,G2_0233,339.89,372.78,-0.0099,
7,G2_0344,381.11,G2_0508,357.16,369.13,0.0522,
8,G2_0383,405.67,G2_0317,328.06,366.86,0.0387,
9,G2_0383,405.67,G2_0420,327.38,366.52,0.0366,
10,G2_0383,405.67,G2_0145,318.46,362.06,-0.0253,母本LR2携带
11,G2_0344,381.11,G2_0351,336.73,358.92,-0.0125,
12,G2_0344,381.11,G2_0001,311.73,346.42,0.0277,
13,G2_0344,381.11,G2_0527,303.47,342.29,0.0427,
14,G2_0344,381.11,G2_0525,302.81,341.96,-0.003,
15,G2_0344,381.11,G2_0403,296.38,338.74,0.0075,
16,G2_0344,381.11,G2_0238,294.55,337.83,0.0068,
17,G2_0445,360.22,G2_0310,293.51,326.86,-0.0152,
18,G2_0445,360.22,G2_0118,291.72,325.97,0.0005,母本LR2携带
19,G2_0445,360.22,G2_0139,291.18,325.7,-0.0137,
20,G2_0410,357.17,G2_0393,291.17,324.17,0.0193,
21,G2_0410,357.17,G2_0159,289.76,323.47,-0.0192,
22,G2_0445,360.22,G2_0480,283.0,321.61,0.0003,
23,G2_0445,360.22,G2_0305,282.64,321.43,-0.0098,
24,G2_0445,360.22,G2_0467,281.4,320.81,-0.0009,
25,G2_0410,357.17,G2_0469,282.56,319.87,0.0039,
26,G2_0445,360.22,G2_0479,276.82,318.52,0.0138,
27,G2_0410,357.17,G2_0089,279.74,318.46,-0.0256,
28,G2_0445,360.22,G2_0207,275.8,318.01,-0.0247,
29,G2_0410,357.17,G2_0461,273.49,315.33,0.0477,
30,G2_0339,356.56,G2_0128,271.92,314.24,0.0128,
31,G2_0339,356.56,G2_0455,271.01,313.79,0.0554,
32,G2_0410,357.17,G2_0287,269.34,313.26,0.0183,
33,G2_0410,357.17,G2_0259,267.59,312.38,0.006,
34,G2_0410,357.17,G2_0234,267.37,312.27,-0.0016,
35,G2_0339,356.56,G2_0004,265.93,311.25,0.0202,母本LR2携带
36,G2_0339,356.56,G2_0096,264.44,310.5,0.0259,
37,G2_0339,356.56,G2_0408,261.4,308.98,0.0291,
38,G2_0339,356.56,G2_0430,261.38,308.97,-0.0198,
39,G2_0339,356.56,G2_0424,259.01,307.79,0.0044,母本LR2携带
40,G2_0339,356.56,G2_0483,253.91,305.24,0.0153,
41,G2_0530,343.69,G2_0439,261.74,302.71,-0.018,
42,G2_0530,343.69,G2_0147,250.71,297.2,0.0209,
43,G2_0530,343.69,G2_0350,249.74,296.71,0.0294,
44,G2_0530,343.69,G2_0370,248.75,296.22,0.0455,
45,G2_0530,343.69,G2_0434,248.1,295.9,0.0112,
46,G2_0530,343.69,G2_0446,243.83,293.76,0.0035,
47,G2_0530,343.69,G2_0334,243.64,293.67,0.017,
48,G2_0530,343.69,G2_0319,242.61,293.15,0.0011,
49,G2_0468,341.09,G2_0007,241.29,291.19,0.0095,父本LR2携带
50,G2_0468,341.09,G2_0047,240.6,290.85,-0.0271,父本LR2携带
51,G2_0468,341.09,G2_0519,240.43,290.76,-0.0118,父本LR2携带
52,G2_0468,341.09,G2_0144,239.1,290.1,0.0298,父本LR2携带
53,G2_0468,341.09,G2_0329,237.46,289.27,-0.0054,父本LR2携带
54,G2_0468,341.09,G2_0528,237.38,289.24,-0.0174,父本LR2携带
55,G2_0468,341.09,G2_0026,237.08,289.09,0.0331,母本LR1携带、父本LR2携带
56,G2_0197,327.24,G2_0160,250.37,288.8,-0.0169,母本LR2携带
57,G2_0468,341.09,G2_0002,236.01,288.55,0.0407,父本LR2携带
58,G2_0197,327.24,G2_0295,242.44,284.84,0.0373,
59,G2_0149,329.43,G2_0203,235.58,282.5,0.0284,父本LR2携带
60,G2_0209,331.64,G2_0065,231.87,281.75,-0.0088,父本LR2携带
61,G2_0209,331.64,G2_0018,231.56,281.6,-0.0094,父本LR2携带
62,G2_0209,331.64,G2_0512,230.67,281.15,-0.0213,父本LR2携带
63,G2_0209,331.64,G2_0154,229.45,280.54,-0.0202,父本LR2携带
64,G2_0209,331.64,G2_0136,229.19,280.41,-0.0034,父本LR2携带
65,G2_0209,331.64,G2_0133,228.93,280.28,-0.0314,父本LR2携带
66,G2_0209,331.64,G2_0399,228.65,280.14,-0.0395,父本LR2携带
67,G2_0209,331.64,G2_0471,227.8,279.72,-0.0072,父本LR2携带
68,G2_0149,329.43,G2_0491,226.78,278.1,-0.0013,父本LR2携带
69,G2_0149,329.43,G2_0342,226.18,277.81,0.0441,父本LR2携带
70,G2_0149,329.43,G2_0034,224.38,276.91,-0.0086,父本LR2携带
71,G2_0149,329.43,G2_0505,223.93,276.68,-0.0218,父本LR2携带
