id,bw42_g,submitted_at
G1_0001,2923.225,2026-05-19T09:32:00
G1_0002,2585.222,2026-05-19T11:31:00
G1_0003,3036.377,2026-05-19T09:00:00
G1_0004,2906.929,2026-05-19T11:36:00
G1_0005,3351.572,2026-05-19T09:00:00
G1_0006,3114.078,2026-05-19T08:05:00
G1_0007,2550.32,2026-05-19T08:10:00
G1_0008,3288.947,2026-05-19T15:17:00
G1_0009,2992.863,2026-05-19T16:27:00
G1_0010,2757.325,2026-05-19T12:06:00
G1_0011,2897.625,2026-05-19T11:27:00
G1_0012,3079.659,2026-05-19T13:46:00
G1_0013,3107.778,2026-05-19T08:49:00
G1_0014,2821.861,2026-05-19T17:18:00
G1_0015,2867.617,2026-05-19T13:35:00
G1_0016,2751.989,2026-05-19T13:46:00
G1_0017,2620.277,2026-05-19T16:20:00
G1_0018,3242.89,2026-05-19T08:21:00
G1_0019,3245.554,2026-05-19T16:45:00
G1_0020,2947.301,2026-05-19T08:48:00
G1_0021,3006.113,2026-05-19T09:26:00
G1_0022,3150.108,2026-05-19T11:17:00
G1_0023,3328.127,2026-05-19T16:23:00
G1_0024,2505.499,2026-05-19T10:58:00
G1_0025,2686.381,2026-05-19T15:13:00
G1_0026,2993.44,2026-05-19T08:46:00
G1_0027,3054.945,2026-05-19T14:50:00
G1_0028,2847.482,2026-05-19T14:13:00
G1_0029,3222.763,2026-05-19T09:11:00
G1_0030,2475.826,2026-05-19T16:01:00
G1_0031,2678.977,2026-05-19T09:49:00
G1_0032,2801.393,2026-05-19T16:25:00
G1_0033,3117.721,2026-05-19T10:39:00
G1_0034,2901.215,2026-05-19T16:14:00
G1_0035,3191.569,2026-05-19T17:08:00
G1_0036,3031.935,2026-05-19T16:28:00
G1_0037,2932.937,2026-05-19T14:00:00
G1_0038,3068.284,2026-05-19T13:09:00
G1_0039,2.807,2026-05-19T15:06:00
G1_0040,2678.375,2026-05-19T10:24:00
G1_0041,2482.98,2026-05-19T09:40:00
G1_0042,3117.716,2026-05-19T14:48:00
G1_0043,2857.926,2026-05-19T09:59:00
G1_0044,2801.546,2026-05-19T10:35:00
G1_0045,2990.791,2026-05-19T14:18:00
G1_0046,2586.141,2026-05-19T10:32:00
G1_0047,2854.681,2026-05-19T17:20:00
G1_0048,3056.935,2026-05-19T10:33:00
G1_0049,2613.06,2026-05-19T15:48:00
G1_0050,2898.451,2026-05-19T15:55:00
G1_0051,2981.238,2026-05-19T08:37:00
G1_0052,2370.957,2026-05-19T10:11:00
G1_0053,3212.574,2026-05-19T15:42:00
G1_0054,2990.367,2026-05-19T15:22:00
