marker_index,effect
5,0.517826
18,0.9743
22,22.525782
31,-5.999973
50,-13.773873
52,4.519605
58,-7.471162
75,18.845685
89,-1.780125
94,-2.985989
97,-0.199847
104,-1.8403
119,-0.89098
133,-11.803371
134,7.47763
144,12.367342
159,18.113472
174,-16.94182
177,3.506559
188,-6.986826
202,-4.922323
228,-15.911766
243,-13.206772
246,26.564989
248,3.473528
261,23.346123
279,-1.715126
280,2.846835
285,28.697116
300,7.862218
310,14.321043
323,10.159193
324,-7.20696
326,-4.023179
328,6.185414
337,11.222611
339,10.770844
343,-0.632123
344,24.046827
360,4.336908
388,3.339632
401,-4.890529
403,4.417301
446,-1.490246
475,7.914663
484,-3.849921
495,12.426702
498,-10.383023
503,-13.016876
506,-8.321607
507,25.926038
525,8.955514
528,-19.483032
535,-6.234642
542,10.631013
564,-3.43937
576,-16.779211
601,-7.309519
614,3.023865
639,-3.711781
646,4.595335
655,-17.321138
672,-8.990744
677,-6.708198
678,6.995372
685,4.037325
689,-7.398288
696,8.976831
705,-15.9655
710,-6.314314
717,-2.718442
737,12.734822
764,1.354855
781,-6.959394
784,6.135446
822,-12.546099
835,-1.743277
836,2.845672
850,-13.466929
867,-5.280531
894,7.557417
908,15.444005
923,0.223541
928,-18.452618
933,-13.97619
934,-9.035383
935,3.81485
942,-9.916915
945,12.154596
947,-20.125699
958,-7.354702
966,9.538893
967,17.589187
1007,-1.080521
1013,9.824746
1018,-3.855669
1023,19.152944
1024,-15.610231
1030,-4.248728
1032,15.63825
1033,2.643297
1039,-1.665696
1045,11.215371
1046,8.089334
1052,19.612856
1061,2.82483
1064,10.956719
1072,-10.845756
1073,-10.800595
1101,3.923491
1102,9.864808
1118,-9.237001
1122,-0.492613
1129,0.061779
1130,-10.960866
1133,8.64311
1187,19.315517
1192,12.427283
1193,-9.607397
1224,-4.463713
1257,6.548726
1286,-13.540281
1335,3.713228
1339,1.794884
1345,10.207244
1368,6.643441
1373,-17.196893
1401,10.833129
1414,-18.09001
1420,-11.890544
