id,tbv,true_sire,true_dam,inject_status
G0_0001,152.533,,,clean
G0_0002,112.201,,,clean
G0_0003,97.299,,,clean
G0_0004,130.994,,,clean
G0_0005,-10.156,,,clean
G0_0006,-45.706,,,clean
G0_0007,126.26,,,clean
G0_0008,-12.122,,,clean
G0_0009,128.482,,,clean
G0_0010,207.216,,,clean
G0_0011,-167.769,,,clean
G0_0012,44.036,,,clean
G0_0013,-88.053,,,clean
G0_0014,-48.213,,,clean
G0_0015,219.188,,,clean
G0_0016,-160.309,,,clean
G0_0017,125.765,,,clean
G0_0018,58.731,,,clean
G0_0019,102.458,,,clean
G0_0020,307.124,,,clean
G0_0021,-105.407,,,clean
G0_0022,37.749,,,clean
G0_0023,-86.043,,,clean
G0_0024,-149.738,,,clean
G0_0025,-78.693,,,clean
G0_0026,-132.033,,,clean
G0_0027,13.015,,,clean
G0_0028,21.553,,,clean
G0_0029,248.415,,,clean
G0_0030,-109.474,,,clean
G0_0031,-195.532,,,clean
G0_0032,-50.005,,,clean
G0_0033,-88.332,,,clean
G0_0034,237.284,,,clean
G0_0035,-76.673,,,clean
G0_0036,115.569,,,clean
G0_0037,-26.339,,,clean
G0_0038,-108.369,,,clean
G0_0039,24.591,,,clean
G0_0040,106.754,,,clean
G0_0041,-40.216,,,clean
G0_0042,-98.923,,,clean
G0_0043,147.569,,,clean
G0_0044,28.055,,,clean
G0_0045,-178.084,,,clean
G0_0046,-91.776,,,clean
G0_0047,-146.75,,,clean
G0_0048,246.483,,,clean
G0_0049,86.271,,,clean
G0_0050,-231.87,,,clean
G0_0051,-11.277,,,clean
G0_0052,148.215,,,clean
G0_0053,419.679,,,clean
G0_0054,-128.718,,,clean
G0_0055,-119.051,,,clean
G0_0056,73.672,,,clean
G0_0057,-153.84,,,clean
G0_0058,-113.188,,,clean
G0_0059,-204.027,,,clean
G0_0060,23.162,,,clean
G0_0061,256.238,,,clean
G0_0062,19.682,,,clean
G0_0063,-182.966,,,clean
G0_0064,-175.85,,,clean
G0_0065,200.442,,,clean
G0_0066,-70.269,,,clean
G0_0067,140.699,,,clean
G0_0068,9.308,,,clean
G0_0069,-51.574,,,clean
G0_0070,143.392,,,clean
G0_0071,-5.266,,,clean
G0_0072,60.568,,,clean
G0_0073,225.745,,,clean
G0_0074,16.845,,,clean
G0_0075,-63.316,,,clean
G0_0076,-277.809,,,clean
G0_0077,-74.459,,,clean
G0_0078,-168.994,,,clean
G0_0079,71.401,,,clean
G0_0080,-76.098,,,clean
G0_0081,-130.427,,,clean
G0_0082,-151.349,,,clean
G0_0083,109.567,,,clean
G0_0084,-43.036,,,clean
G0_0085,-43.021,,,clean
G0_0086,120.309,,,clean
G0_0087,-222.529,,,clean
G0_0088,-258.764,,,clean
G0_0089,122.476,,,clean
G0_0090,184.256,,,clean
G0_0091,-134.75,,,clean
G0_0092,179.345,,,clean
G0_0093,-8.084,,,clean
G0_0094,-8.451,,,clean
G0_0095,4.614,,,clean
G0_0096,-65.315,,,clean
G0_0097,-201.248,,,clean
G0_0098,-328.74,,,clean
G0_0099,-149.401,,,clean
G0_0100,329.335,,,clean
G0_0101,53.83,,,clean
G0_0102,-163.369,,,clean
G0_0103,45.07,,,clean
G0_0104,71.943,,,clean
G0_0105,91.357,,,clean
G0_0106,-134.106,,,clean
G0_0107,-38.864,,,clean
G0_0108,134.652,,,clean
G0_0109,33.829,,,clean
G0_0110,335.45,,,clean
G0_0111,-16.447,,,clean
G0_0112,-124.64,,,clean
G0_0113,-22.835,,,clean
G0_0114,79.904,,,clean
G0_0115,78.855,,,clean
G0_0116,53.53,,,clean
G0_0117,3.655,,,clean
G0_0118,-319.681,,,clean
G0_0119,-272.153,,,clean
G0_0120,134.092,,,clean
G0_0121,-25.85,,,clean
G0_0122,92.433,,,clean
G0_0123,-47.991,,,clean
G0_0124,-38.032,,,clean
G0_0125,-145.677,,,clean
G0_0126,-99.879,,,clean
G0_0127,-112.206,,,clean
G0_0128,-174.696,,,clean
G0_0129,-149.894,,,clean
G0_0130,-6.369,,,clean
G0_0131,-21.495,,,clean
G0_0132,-61.206,,,clean
G0_0133,-104.597,,,clean
G0_0134,-124.071,,,clean
G0_0135,-33.162,,,clean
G0_0136,-225.649,,,clean
G0_0137,-186.166,,,clean
G0_0138,45.325,,,clean
