env,item,method,r_mean,r_std,pct_of_full_env
1,density_full,,0.4989039266698974,0.022823278211334022,100.0
1,density_200,,0.44445857548479534,0.06345877705131706,89.08700688156216
1,density_500,,0.4703352875366204,0.017372996023153186,94.27371932629033
1,density_800,,0.4896587265402346,0.017008884251104982,98.14689770205398
1,impute_30pct,col_mean,0.46444491550051276,0.006095164205936958,93.0930567335092
1,impute_30pct,knn_k20,0.47241518684344896,0.008718157037326658,94.69061307990569
1,impute_50pct,col_mean,0.4536943387582717,0.03304622981604693,90.93821766178664
1,impute_50pct,knn_k20,0.4784350669630677,0.03526076681332769,95.89723419427544
1,impute_70pct,col_mean,0.4701889826217805,0.018366808031794385,94.24439405803348
1,impute_70pct,knn_k20,0.4828334360952086,0.008053717055266025,96.77884063131017
2,density_full,,0.46932354482257965,0.02424992964780984,100.0
2,density_200,,0.3905936527624128,0.03048171952493685,83.22481517735713
2,density_500,,0.4289099088405335,0.02769651921088218,91.38896046706459
2,density_800,,0.4526537226696202,0.028190430868817524,96.44811722385221
2,impute_30pct,col_mean,0.42841185908559704,0.037113395352253324,91.28283969804912
2,impute_30pct,knn_k20,0.44879737703783595,0.029544652669126918,95.62643553446625
2,impute_50pct,col_mean,0.41266808770866176,0.0316413999518067,87.92827299228391
2,impute_50pct,knn_k20,0.43453335124091336,0.03134563645030064,92.58716210480806
2,impute_70pct,col_mean,0.3945869514275706,0.04000234822252613,84.07567780916212
2,impute_70pct,knn_k20,0.4005236640313428,0.038951729199800764,85.34062875169718
3,density_full,,0.34910511502702696,0.012834750667569427,100.0
3,density_200,,0.2943727581336186,0.029186029398703593,84.32209826281945
3,density_500,,0.34128988395092913,0.009823108591080664,97.76135303102254
3,density_800,,0.34143504023054616,0.02606263137823821,97.80293256491329
3,impute_30pct,col_mean,0.3305617940547511,0.013766913864816653,94.68832733349088
3,impute_30pct,knn_k20,0.3480132996140977,0.010445823396381579,99.68725310345432
3,impute_50pct,col_mean,0.31591130363301184,0.009873685746886752,90.49174304093329
3,impute_50pct,knn_k20,0.3409744440084548,0.009197106061056575,97.670996307819
3,impute_70pct,col_mean,0.3088948530866819,0.007360285646664186,88.48190410007827
3,impute_70pct,knn_k20,0.31344873662715456,0.01147713638067538,89.78634890608464
4,density_full,,0.4478217575328887,0.026203252268344107,100.0
4,density_200,,0.3978489299683719,0.04016541109293246,88.84091120542602
4,density_500,,0.42874691780407,0.02883403015760659,95.7405285902354
4,density_800,,0.44219766736707705,0.011806097950965256,98.74412306432015
4,impute_30pct,col_mean,0.41760892932000254,0.026864599395712417,93.25338090330118
4,impute_30pct,knn_k20,0.44298018467013983,0.02362224226605979,98.91886162713
4,impute_50pct,col_mean,0.4188054159075088,0.0262077912708105,93.52056010292245
4,impute_50pct,knn_k20,0.44034830501981875,0.027246360266924504,98.33115466424806
4,impute_70pct,col_mean,0.41178699509847155,0.02731840695868598,91.9533247707888
4,impute_70pct,knn_k20,0.4382433865801751,0.026861545837779596,97.86111978893518
